tournum,tourtype,tot_shifts,tot_periods,startwin,tot_hours,tot_ftes,Su-1,Mo-1,Tu-1,We-1,Th-1,Fr-1,Sa-1,Su-2,Mo-2,Tu-2,We-2,Th-2,Fr-2,Sa-2,Su-3,Mo-3,Tu-3,We-3,Th-3,Fr-3,Sa-3,Su-4,Mo-4,Tu-4,We-4,Th-4,Fr-4,Sa-4
13,2,10,160,17,80.0,0.5,x,0800-1600,x,x,0800-1600,x,0800-1600,x,0800-1600,x,x,0800-1600,x,x,x,0800-1600,x,x,0800-1600,0800-1600,x,x,x,0800-1600,x,0800-1600,x,x
14,2,10,160,17,80.0,0.5,x,0800-1600,x,x,0800-1600,0800-1600,x,x,0800-1600,x,x,0800-1600,x,x,x,0800-1600,x,x,0800-1600,0800-1600,x,x,0800-1600,x,x,0800-1600,x,x
15,2,10,160,17,80.0,0.5,x,0800-1600,x,x,0800-1600,x,x,x,0800-1600,0800-1600,x,0800-1600,x,x,x,0800-1600,x,x,0800-1600,x,x,x,0800-1600,0800-1600,x,0800-1600,x,x
16,2,10,160,17,80.0,0.5,x,0800-1600,x,x,0800-1600,x,x,0800-1600,0800-1600,x,x,0800-1600,x,x,x,0800-1600,x,x,0800-1600,x,x,0800-1600,0800-1600,x,x,0800-1600,x,x
17,1,20,320,18,160.0,1.0,x,0830-1630,0830-1630,0830-1630,0830-1630,0830-1630,x,x,0830-1630,x,0830-1630,0830-1630,0830-1630,0830-1630,x,0830-1630,0830-1630,0830-1630,0830-1630,0830-1630,x,x,0830-1630,0830-1630,0830-1630,0830-1630,0830-1630,x
18,1,20,320,18,160.0,1.0,x,0830-1630,0830-1630,0830-1630,0830-1630,0830-1630,x,x,0830-1630,0830-1630,0830-1630,0830-1630,0830-1630,x,x,0830-1630,0830-1630,0830-1630,0830-1630,0830-1630,x,x,0830-1630,x,0830-1630,0830-1630,0830-1630,0830-1630
19,1,20,320,18,160.0,1.0,x,0830-1630,0830-1630,0830-1630,0830-1630,0830-1630,x,x,0830-1630,0830-1630,0830-1630,0830-1630,0830-1630,x,x,0830-1630,0830-1630,0830-1630,0830-1630,x,0830-1630,x,0830-1630,0830-1630,0830-1630,0830-1630,0830-1630,x
20,2,10,160,18,80.0,0.5,x,x,x,0830-1630,0830-1630,x,x,x,0830-1630,x,x,0830-1630,0830-1630,x,x,x,0830-1630,x,0830-1630,x,x,x,0830-1630,x,x,0830-1630,0830-1630,x
21,2,10,160,19,80.0,0.5,x,0900-1700,0900-1700,x,x,x,0900-1700,0900-1700,0900-1700,x,x,x,x,x,x,0900-1700,x,0900-1700,x,x,0900-1700,0900-1700,x,x,0900-1700,x,x,x
22,2,10,160,19,80.0,0.5,0900-1700,x,0900-1700,0900-1700,x,x,x,x,0900-1700,x,x,x,x,0900-1700,0900-1700,0900-1700,x,0900-1700,x,x,x,x,0900-1700,x,x,x,x,0900-1700
23,2,10,160,20,80.0,0.5,x,0930-1730,0930-1730,x,x,x,x,x,x,0930-1730,0930-1730,x,0930-1730,x,x,0930-1730,0930-1730,x,x,x,x,x,0930-1730,0930-1730,x,x,0930-1730,x
24,2,10,160,20,80.0,0.5,x,0930-1730,0930-1730,x,x,0930-1730,x,x,x,0930-1730,0930-1730,x,x,x,x,0930-1730,0930-1730,x,x,0930-1730,x,x,0930-1730,0930-1730,x,x,x,x
25,2,10,160,20,80.0,0.5,x,0930-1730,0930-1730,x,x,x,x,x,0930-1730,0930-1730,x,x,0930-1730,x,x,0930-1730,0930-1730,x,x,x,x,x,0930-1730,0930-1730,x,x,0930-1730,x
26,1,20,320,21,160.0,1.0,x,1000-1800,1000-1800,x,1000-1800,1000-1800,1000-1800,x,1000-1800,1000-1800,1000-1800,1000-1800,1000-1800,x,x,1000-1800,1000-1800,x,1000-1800,1000-1800,1000-1800,x,1000-1800,1000-1800,1000-1800,1000-1800,1000-1800,x
27,1,20,320,21,160.0,1.0,x,1000-1800,1000-1800,1000-1800,1000-1800,1000-1800,x,x,1000-1800,1000-1800,x,1000-1800,1000-1800,1000-1800,x,1000-1800,1000-1800,1000-1800,1000-1800,1000-1800,x,x,1000-1800,1000-1800,1000-1800,1000-1800,1000-1800,x
28,1,20,320,21,160.0,1.0,x,1000-1800,1000-1800,1000-1800,1000-1800,1000-1800,x,x,1000-1800,1000-1800,1000-1800,1000-1800,1000-1800,x,x,1000-1800,1000-1800,1000-1800,1000-1800,1000-1800,x,x,1000-1800,1000-1800,x,1000-1800,1000-1800,1000-1800
29,2,10,160,21,80.0,0.5,x,1000-1800,x,x,x,1000-1800,x,x,1000-1800,1000-1800,x,x,1000-1800,x,x,x,1000-1800,x,x,1000-1800,x,x,1000-1800,1000-1800,x,x,1000-1800,x
30,2,10,160,22,80.0,0.5,x,x,1030-1830,x,1030-1830,x,x,x,x,1030-1830,1030-1830,1030-1830,x,x,x,x,1030-1830,x,1030-1830,x,x,x,x,1030-1830,1030-1830,1030-1830,x,x
31,2,10,160,22,80.0,0.5,x,x,1030-1830,1030-1830,1030-1830,x,x,x,x,1030-1830,x,x,x,1030-1830,x,x,1030-1830,1030-1830,1030-1830,x,x,x,x,1030-1830,x,x,x,1030-1830
32,2,10,160,22,80.0,0.5,x,x,1030-1830,1030-1830,1030-1830,x,x,x,x,1030-1830,x,1030-1830,x,x,x,x,1030-1830,1030-1830,1030-1830,x,x,x,x,1030-1830,x,1030-1830,x,x
33,2,10,160,22,80.0,0.5,x,x,1030-1830,1030-1830,x,x,x,x,x,1030-1830,1030-1830,1030-1830,x,x,x,x,1030-1830,x,1030-1830,x,x,x,x,1030-1830,1030-1830,1030-1830,x,x
34,2,10,160,22,80.0,0.5,x,x,1030-1830,x,1030-1830,x,x,x,x,1030-1830,1030-1830,1030-1830,x,x,x,x,1030-1830,1030-1830,x,x,x,x,x,1030-1830,1030-1830,1030-1830,x,x
35,1,20,320,23,160.0,1.0,x,x,1100-1900,1100-1900,1100-1900,1100-1900,1100-1900,x,1100-1900,1100-1900,1100-1900,1100-1900,1100-1900,x,x,x,1100-1900,1100-1900,1100-1900,1100-1900,1100-1900,x,1100-1900,1100-1900,1100-1900,1100-1900,1100-1900,x
36,2,10,160,24,80.0,0.5,x,x,x,1130-1930,1130-1930,x,1130-1930,x,x,x,1130-1930,1130-1930,x,x,x,x,x,1130-1930,1130-1930,x,1130-1930,x,1130-1930,x,1130-1930,x,x,x
37,2,10,160,24,80.0,0.5,x,1130-1930,x,1130-1930,x,x,x,x,1130-1930,x,1130-1930,x,x,1130-1930,x,1130-1930,x,1130-1930,x,x,x,x,x,x,1130-1930,1130-1930,x,1130-1930
38,2,10,160,24,80.0,0.5,x,1130-1930,x,1130-1930,x,x,1130-1930,x,x,x,1130-1930,1130-1930,x,x,x,1130-1930,x,1130-1930,x,x,1130-1930,x,x,x,1130-1930,1130-1930,x,x
39,1,20,320,25,160.0,1.0,x,1200-2000,1200-2000,1200-2000,1200-2000,1200-2000,x,x,1200-2000,1200-2000,1200-2000,x,1200-2000,1200-2000,x,1200-2000,1200-2000,1200-2000,1200-2000,1200-2000,x,x,1200-2000,1200-2000,1200-2000,x,1200-2000,1200-2000
40,2,10,160,25,80.0,0.5,x,x,1200-2000,1200-2000,x,x,x,x,x,1200-2000,1200-2000,x,1200-2000,x,x,x,1200-2000,1200-2000,x,x,x,x,x,1200-2000,1200-2000,x,1200-2000,x
41,2,10,160,25,80.0,0.5,x,x,1200-2000,1200-2000,x,1200-2000,x,x,x,1200-2000,1200-2000,x,x,x,x,x,1200-2000,1200-2000,x,1200-2000,x,x,x,1200-2000,1200-2000,x,x,x
42,1,20,320,26,160.0,1.0,1230-2030,x,1230-2030,1230-2030,1230-2030,1230-2030,x,x,1230-2030,1230-2030,1230-2030,1230-2030,1230-2030,x,1230-2030,x,1230-2030,1230-2030,1230-2030,1230-2030,x,x,1230-2030,1230-2030,1230-2030,1230-2030,1230-2030,x
43,1,20,320,28,160.0,1.0,x,1330-2130,1330-2130,1330-2130,1330-2130,1330-2130,x,1330-2130,x,1330-2130,1330-2130,1330-2130,1330-2130,x,x,1330-2130,1330-2130,1330-2130,1330-2130,1330-2130,x,1330-2130,x,1330-2130,1330-2130,1330-2130,1330-2130,x
44,1,20,320,28,160.0,1.0,1330-2130,1330-2130,1330-2130,1330-2130,x,1330-2130,x,x,1330-2130,1330-2130,1330-2130,1330-2130,1330-2130,x,1330-2130,1330-2130,1330-2130,1330-2130,x,1330-2130,x,x,1330-2130,1330-2130,1330-2130,1330-2130,1330-2130,x
45,1,20,320,29,160.0,1.0,x,1400-2200,x,1400-2200,1400-2200,1400-2200,1400-2200,1400-2200,1400-2200,x,1400-2200,1400-2200,1400-2200,x,x,1400-2200,x,1400-2200,1400-2200,1400-2200,1400-2200,1400-2200,1400-2200,x,1400-2200,1400-2200,1400-2200,x
46,1,20,320,29,160.0,1.0,x,1400-2200,1400-2200,1400-2200,1400-2200,1400-2200,x,x,1400-2200,x,1400-2200,1400-2200,1400-2200,1400-2200,x,1400-2200,1400-2200,1400-2200,1400-2200,1400-2200,x,x,1400-2200,x,1400-2200,1400-2200,1400-2200,1400-2200
47,2,10,160,29,80.0,0.5,x,x,x,x,1400-2200,1400-2200,1400-2200,x,x,x,x,1400-2200,1400-2200,x,x,x,x,x,1400-2200,1400-2200,1400-2200,x,x,x,x,1400-2200,1400-2200,x
48,2,10,160,29,80.0,0.5,x,x,x,x,1400-2200,1400-2200,x,x,x,x,x,1400-2200,1400-2200,1400-2200,x,x,x,x,1400-2200,1400-2200,x,x,x,x,x,1400-2200,1400-2200,1400-2200
49,1,20,320,30,160.0,1.0,x,1430-2230,x,1430-2230,1430-2230,1430-2230,1430-2230,1430-2230,1430-2230,x,1430-2230,1430-2230,1430-2230,x,x,1430-2230,x,1430-2230,1430-2230,1430-2230,1430-2230,1430-2230,1430-2230,x,1430-2230,1430-2230,1430-2230,x
50,1,20,320,30,160.0,1.0,1430-2230,1430-2230,x,1430-2230,1430-2230,1430-2230,x,x,1430-2230,1430-2230,1430-2230,x,1430-2230,1430-2230,1430-2230,1430-2230,x,1430-2230,1430-2230,1430-2230,x,x,1430-2230,1430-2230,1430-2230,1430-2230,x,1430-2230
51,2,10,160,30,80.0,0.5,x,1430-2230,x,1430-2230,x,x,x,x,1430-2230,x,1430-2230,1430-2230,x,x,x,1430-2230,x,1430-2230,x,x,x,x,1430-2230,x,1430-2230,1430-2230,x,x
52,2,10,160,30,80.0,0.5,x,1430-2230,x,1430-2230,1430-2230,x,x,x,1430-2230,x,1430-2230,x,x,x,x,1430-2230,x,1430-2230,1430-2230,x,x,x,1430-2230,x,1430-2230,x,x,x
53,1,20,320,32,160.0,1.0,x,1530-2330,1530-2330,1530-2330,1530-2330,1530-2330,x,x,1530-2330,1530-2330,1530-2330,1530-2330,1530-2330,x,x,1530-2330,1530-2330,1530-2330,1530-2330,1530-2330,x,x,1530-2330,1530-2330,1530-2330,1530-2330,1530-2330,x
54,1,20,320,32,160.0,1.0,x,1530-2330,1530-2330,1530-2330,1530-2330,1530-2330,x,x,1530-2330,1530-2330,1530-2330,1530-2330,1530-2330,x,x,1530-2330,1530-2330,1530-2330,1530-2330,1530-2330,x,x,1530-2330,1530-2330,1530-2330,1530-2330,1530-2330,x
55,1,20,320,32,160.0,1.0,x,1530-2330,1530-2330,1530-2330,1530-2330,1530-2330,x,x,1530-2330,1530-2330,1530-2330,1530-2330,1530-2330,x,x,1530-2330,1530-2330,1530-2330,1530-2330,1530-2330,x,x,1530-2330,1530-2330,1530-2330,1530-2330,1530-2330,x
56,2,10,160,32,80.0,0.5,x,x,x,1530-2330,1530-2330,x,x,x,x,1530-2330,1530-2330,1530-2330,x,x,x,x,x,1530-2330,1530-2330,x,x,x,x,1530-2330,1530-2330,x,1530-2330,x
57,2,10,160,33,80.0,0.5,x,1600-0000,1600-0000,1600-0000,x,x,x,x,1600-0000,x,1600-0000,x,x,x,x,1600-0000,1600-0000,1600-0000,x,x,x,x,1600-0000,x,1600-0000,x,x,x
58,1,20,320,43,160.0,1.0,2100-0500,2100-0500,2100-0500,2100-0500,2100-0500,x,x,x,2100-0500,2100-0500,2100-0500,2100-0500,x,2100-0500,2100-0500,2100-0500,2100-0500,2100-0500,2100-0500,x,x,x,2100-0500,2100-0500,2100-0500,2100-0500,x,2100-0500
59,2,10,160,43,80.0,0.5,2100-0500,2100-0500,x,x,2100-0500,x,x,x,x,x,x,2100-0500,x,2100-0500,2100-0500,2100-0500,x,x,2100-0500,x,x,x,x,x,x,2100-0500,x,2100-0500
60,1,20,320,44,160.0,1.0,x,2130-0530,2130-0530,2130-0530,2130-0530,x,2130-0530,2130-0530,2130-0530,2130-0530,2130-0530,2130-0530,x,x,x,2130-0530,2130-0530,2130-0530,2130-0530,x,2130-0530,2130-0530,2130-0530,2130-0530,2130-0530,2130-0530,x,x
61,2,10,160,44,80.0,0.5,x,x,2130-0530,x,x,x,2130-0530,2130-0530,2130-0530,2130-0530,x,x,x,x,x,x,2130-0530,x,x,x,2130-0530,2130-0530,2130-0530,2130-0530,x,x,x,x
62,2,10,160,47,80.0,0.5,2300-0700,x,x,2300-0700,x,2300-0700,x,x,x,x,x,x,2300-0700,2300-0700,2300-0700,x,x,2300-0700,x,2300-0700,x,x,x,x,x,x,2300-0700,2300-0700
63,2,10,160,48,80.0,0.5,2330-0730,x,x,x,x,2330-0730,x,x,x,2330-0730,x,x,2330-0730,2330-0730,2330-0730,x,x,x,x,2330-0730,x,x,x,x,2330-0730,x,2330-0730,2330-0730
64,2,10,160,48,80.0,0.5,x,x,x,x,x,2330-0730,2330-0730,2330-0730,x,x,2330-0730,x,2330-0730,x,x,x,x,x,x,2330-0730,2330-0730,2330-0730,x,x,2330-0730,x,2330-0730,x
