tournum,tourtype,tot_shifts,tot_periods,startwin,tot_hours,tot_ftes,Su-1,Mo-1,Tu-1,We-1,Th-1,Fr-1,Sa-1,Su-2,Mo-2,Tu-2,We-2,Th-2,Fr-2,Sa-2,Su-3,Mo-3,Tu-3,We-3,Th-3,Fr-3,Sa-3,Su-4,Mo-4,Tu-4,We-4,Th-4,Fr-4,Sa-4
35,1,20,320,30,160.0,1.0,1430-2230,1430-2230,x,1430-2230,1430-2230,1430-2230,x,x,1430-2230,x,1430-2230,1430-2230,1430-2230,1430-2230,1430-2230,1430-2230,x,1430-2230,1430-2230,1430-2230,x,x,1430-2230,x,1430-2230,1430-2230,1430-2230,1430-2230
36,1,20,320,30,160.0,1.0,x,1430-2230,x,1430-2230,1430-2230,1430-2230,1430-2230,1430-2230,1430-2230,x,1430-2230,1430-2230,1430-2230,x,x,1430-2230,x,1430-2230,1430-2230,1430-2230,1430-2230,1430-2230,1430-2230,x,1430-2230,1430-2230,1430-2230,x
37,1,20,320,30,160.0,1.0,x,1430-2230,1430-2230,1430-2230,1430-2230,1430-2230,x,1430-2230,1430-2230,x,1430-2230,1430-2230,1430-2230,x,x,1430-2230,x,1430-2230,1430-2230,1430-2230,1430-2230,1430-2230,1430-2230,x,1430-2230,1430-2230,1430-2230,x
38,1,20,320,30,160.0,1.0,x,1430-2230,1430-2230,1430-2230,1430-2230,1430-2230,x,x,1430-2230,1430-2230,1430-2230,1430-2230,1430-2230,x,x,1430-2230,1430-2230,1430-2230,1430-2230,1430-2230,x,x,1430-2230,1430-2230,1430-2230,1430-2230,1430-2230,x
39,1,20,320,32,160.0,1.0,x,1530-2330,1530-2330,1530-2330,1530-2330,1530-2330,x,x,1530-2330,1530-2330,1530-2330,1530-2330,1530-2330,x,x,1530-2330,1530-2330,1530-2330,1530-2330,1530-2330,x,x,1530-2330,1530-2330,1530-2330,1530-2330,1530-2330,x
40,1,20,320,32,160.0,1.0,1530-2330,x,1530-2330,1530-2330,1530-2330,1530-2330,x,x,x,1530-2330,1530-2330,1530-2330,1530-2330,1530-2330,x,1530-2330,1530-2330,1530-2330,1530-2330,1530-2330,x,x,x,1530-2330,1530-2330,1530-2330,1530-2330,1530-2330
41,1,20,320,32,160.0,1.0,x,1530-2330,1530-2330,1530-2330,1530-2330,1530-2330,x,x,1530-2330,1530-2330,1530-2330,1530-2330,1530-2330,x,1530-2330,x,1530-2330,1530-2330,1530-2330,1530-2330,x,x,1530-2330,1530-2330,1530-2330,1530-2330,1530-2330,x
42,3,16,320,43,160.0,1.0,2100-0700,x,2100-0700,x,2100-0700,2100-0700,x,x,x,2100-0700,x,2100-0700,2100-0700,2100-0700,2100-0700,x,2100-0700,x,2100-0700,2100-0700,x,x,x,2100-0700,x,2100-0700,2100-0700,2100-0700
43,3,16,320,43,160.0,1.0,x,2100-0700,x,x,2100-0700,2100-0700,2100-0700,2100-0700,2100-0700,x,x,2100-0700,2100-0700,x,x,2100-0700,x,x,2100-0700,2100-0700,2100-0700,2100-0700,2100-0700,x,x,2100-0700,2100-0700,x
44,3,16,320,43,160.0,1.0,x,2100-0700,2100-0700,x,2100-0700,x,2100-0700,2100-0700,2100-0700,2100-0700,x,2100-0700,x,x,x,2100-0700,2100-0700,x,2100-0700,x,2100-0700,2100-0700,2100-0700,2100-0700,x,2100-0700,x,x
45,3,16,320,44,160.0,1.0,2130-0730,2130-0730,2130-0730,2130-0730,x,x,x,x,2130-0730,2130-0730,2130-0730,x,x,2130-0730,2130-0730,2130-0730,2130-0730,2130-0730,x,x,x,x,2130-0730,2130-0730,2130-0730,x,x,2130-0730
46,3,16,320,44,160.0,1.0,x,2130-0730,2130-0730,2130-0730,x,x,2130-0730,2130-0730,2130-0730,2130-0730,2130-0730,x,x,x,x,2130-0730,2130-0730,2130-0730,x,x,2130-0730,2130-0730,2130-0730,2130-0730,2130-0730,x,x,x
47,3,16,320,48,160.0,1.0,2330-0930,x,2330-0930,2330-0930,x,2330-0930,x,x,x,2330-0930,2330-0930,x,2330-0930,2330-0930,2330-0930,x,x,2330-0930,2330-0930,2330-0930,x,x,x,2330-0930,2330-0930,x,2330-0930,2330-0930
